Bank Chor||||Introducing the worst Bank Chor EVER: Champak Chandrakant Chiplunkar, a simple Marathi manoos played by Riteish Deshmukh who picks the worst day possible to rob a bank. To make matters worse, he recruits 2 idiots from Delhi who've never even picked a pocket in their lives. Now top that off with the craziest bunch of hostages including a high-strung housewife, a hyper chef, a possibly undercover cop - and Baba Sehgal. How could it be worse, right? Wrong. Enter tough as nails supercop, CBI officer Amjad Khan played by Vivek Anand Oberoi, who shoots first and interrogates later. And a mad media circus outside led by fashion journo turned crime reporter Gayatri Ganguly aka Gaga played by Rhea Chakraborty. And you know the Bankchors are up for the worst day of their lives. Yet. The film promises to be a crazy roller-coaster ride with thrills, chills and certainly lots of spills.||||2017||||movie||||NOT RATED||||Action, Comedy, Thriller
Amityville: The Awakening||||Belle, her little sister, and her comatose twin brother move into a new house with their single mother Joan in order to save money to help pay for her brother's expensive healthcare. But when strange phenomena begin to occur in the house including the miraculous recovery of her brother, Belle begins to suspect her Mother isn't telling her everything and soon realizes they just moved into the infamous Amityville house.||||2017||||movie||||PG-13||||Horror, Thriller
The Hunter's Prayer||||This high octane thriller focuses on Lucas, (Sam Worthington), a solitary assassin, hired to kill a young woman, Ella, (Odeya Rush). When he can't bring himself to pull the trigger the plan falls apart, setting in motion a twisted game of cat and mouse. Now both are marked for death and forced to form an uneasy alliance. Relentlessly pursued across Europe, their only hope for survival is to expose those responsible for brutally murdering her family and bring them to justice.||||2017||||movie||||R||||Action, Thriller
Moonwalkers||||What if Apollo 11 never actually made it? What if, in reality, Stanley Kubrick secretly shot the famous images of the moon landing in a studio, working for the US administration? This is the premise of a totally plausible conspiracy theory that takes us to swinging sixties London, where a stubborn CIA agent will never find Kubrick but instead is forced to team up with a lousy manager of a seedy rock band to develop the biggest con of all time, in this riotous, high-tempo action-comedy.||||2015||||movie||||R||||Action, Comedy
Mr. Church||||"Mr. Church" tells the story of a unique friendship that develops when a little girl and her dying mother retain the services of a talented cook - Henry Joseph Church. What begins as a six month arrangement instead spans into fifteen years and creates a family bond that lasts forever.||||2016||||movie||||PG-13||||Comedy, Drama
L'ordine delle cose||||N/A||||2017||||movie||||N/A||||Drama
Bunyan and Babe||||12 year old Travis Barclay and his little sister Whitney are sent begrudgingly on a summer trip to visit their grandparents' farm in Delbert County. A greedy land developer, Norm Blandsford, has been buying up the little country town, running the hard working residents off their land. After Travis has a run-in with one of Blandsford's men, he is chased into the forest where he stumbles upon a magic portal to the hidden world where Paul Bunyan lives. Paul has been in self-imposed exile for 100 years, ever since the advent of machines made his role in society obsolete and left him feeling of little value to the new world. Paul, reluctantly, escorts Travis back to the farm. But upon returning,Paul witnesses Blandsford's sinister plan. Suddenly filled by a long-forgotten sense of purpose, Bunyan and Babe, the blue ox, get wrapped up in a brand new adventure and together with the help of their new friends, Travis and Whitney, they save the town. Together they learn firsthand that you don't have to be big to do big things.||||2017||||movie||||PG||||Animation, Adventure, Comedy
Payne & Redemption||||The story revolves around a guilt riddent NYC detective turned DEA agent. When his family gets murdered by henchmen of drug dealer cum mafia don.||||2018||||movie||||N/A||||Action, Crime, Drama
Athiratha||||N/A||||2017||||movie||||N/A||||Action, Thriller
Last Days in the Desert||||Ewan McGregor is Jesus - and the Devil - in an imagined chapter from his forty days of fasting and praying in the desert. On his way out of the wilderness, Jesus struggles with the Devil over the fate of a family in crisis, setting for himself a dramatic test.||||2015||||movie||||PG-13||||Adventure, Drama
